Timestamp,"What’s your total salary in US dollars, ANNUAL BEFORE TAXES?",Your country,Zipcode,Primary database,Years of experience with DB,Other databases ,Job type,Job title,Do you manage other staff?,Years of service,How many other people on your team do the same job as you?,Number of database servers,Highest level of higher education completed,Is your college degree computer-related?,Do you hold industry certifications?,How many hours do you work per week?,Number of days do you work from home?,Employer sector,Are you looking for another job right now?,What are your career plans for the year 2018?,To which gender do you most identify?,Other job duties,What kinds of work do you do?
12/11/2017 9:08,77000,United States,376,Microsoft SQL Server,10,"Oracle, MySQL/MariaDB, Microsoft Access, Amazon RDS (any flavor)",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,5,1,10,None (no degree completed),N/A,"No, I never have",45,5 or more,Private business,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,"Architect, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Manager","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D"
12/11/2017 9:10,53000,United Kingdom,,Microsoft SQL Server,4,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,None,80,None (no degree completed),No,"Yes, and they're currently valid",40,1,Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,"Analyst, Architect, Data Scientist, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: Business Intelligence (SSRS, PowerBI, etc)",
12/11/2017 9:10,95000,United States,41075,Microsoft SQL Server,12,"Microsoft Access, Azure SQL DB, Cosmos DB",Full time employee,Engineer,No,1,2,200,Associates (2 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"Architect, Developer: App code (C#, JS, etc), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Projects, R&D"
12/11/2017 9:14,65750,Canada,R2V,Microsoft SQL Server,12,"Microsoft SQL Server, MySQL/MariaDB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,9,None,29,None (no degree completed),N/A,"Yes, and they're currently valid",38,"None, or less than 1 day per week",State/province government,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Developer: Business Intelligence (SSRS, PowerBI, etc)","Build scripts & automation tools, Manual tasks, Projects, R&D"
12/11/2017 9:15,167250,United States,944,Microsoft SQL Server,12,None,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,12,1,40,Bachelors (4 years),No,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Production Focus - build & troubleshoot servers, HA/DR)","Manual tasks, Meetings & management, Projects"
12/11/2017 9:17,73000,United States,68521,Microsoft SQL Server,7,Oracle,Full time employee,Engineer,No,3,More than 5,140,Bachelors (4 years),No,"No, I never have",40,2,Private business,"Yes, actively looking for something else",Change both employers and roles,Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, Training/teaching"
12/11/2017 9:19,50000,United States,37027,Microsoft SQL Server,1,PostgreSQL,Full time employee,Analyst,No,1,1,1,Masters,No,"No, I never have",40,5 or more,Private business,No,"Stay with the same employer, same role",Female,,"Build scripts & automation tools, Manual tasks, Projects, Training/teaching"
12/11/2017 9:23,84000,Canada,N2L 4E9,Microsoft SQL Server,18,None,Full time employee,"Developer: App code (C#, JS, etc)",No,18,None,15,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)",Prefer not to say,Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL","Build scripts & automation tools, Projects, R&D"
12/11/2017 9:26,140000,United States,32779,Microsoft SQL Server,15,"Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, Cassandra, Redis, Elasticsearch, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,Engineer,No,17,1,324,None (no degree completed),N/A,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,Architect,"Build scripts & automation tools, Meetings & management, Projects, R&D"
12/11/2017 9:31,121000,United States,2130,Microsoft SQL Server,15,"Microsoft SQL Server, PostgreSQL",Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",Yes,5,None,3,None (no degree completed),N/A,"No, I never have",50,"None, or less than 1 day per week",Federal government,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,"DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching"
12/11/2017 9:32,30000,Romania,,Microsoft SQL Server,6,None,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,6,None,10,Masters,No,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Build scripts & automation tools
12/11/2017 9:33,135000,United States,77007,Microsoft SQL Server,12,Microsoft SQL Server,Full time employee,Manager,Yes,3,More than 5,1200,Bachelors (4 years),Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Meetings & management, Projects, Training/teaching"
12/11/2017 9:35,120000,United States,479xx,Microsoft SQL Server,16,"Azure SQL DB, Amazon RDS (any flavor)",Full time employee,Developer: T-SQL,No,3,More than 5,35,Masters,Yes,"Yes, and they're currently valid",40,5 or more,Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)",
12/11/2017 9:36,18000,Brazil,2553000,Microsoft SQL Server,7,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,1,48,Associates (2 years),No,"Yes, and they're currently valid",40,1,Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation"
12/11/2017 9:39,32000,Brazil,,Microsoft SQL Server,5,Oracle,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,4,2,120,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, Projects"
12/11/2017 9:42,48000,United States,59102,Microsoft SQL Server,12,None,Full time employee,Developer: T-SQL,No,13,4,100,Associates (2 years),No,"No, I never have",48,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, Projects"
12/11/2017 9:43,71000,Canada,,Microsoft SQL Server,9,"Microsoft SQL Server, Oracle, Microsoft Access, CouchDB",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,9,3,65,Associates (2 years),No,"No, I never have",45,1,Private business,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects"
12/11/2017 9:46,100000,United States,60606,Microsoft SQL Server,10,None,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,1,1,200,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,,
12/11/2017 9:54,15000,Croatia,,Microsoft SQL Server,3,"Oracle, Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,3,None,120,Masters,Yes,"Yes, and they're currently valid",60,5 or more,Federal government,No,"Stay with the same role, but change employers",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL, Engineer","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects, Training/teaching"
12/11/2017 9:54,170000,United States,19103,Microsoft SQL Server,7,"Microsoft SQL Server, Oracle, MySQL/MariaDB, MongoDB, DB2, Redis, Amazon RDS (any flavor)",Full time employee,Manager,Yes,5,None,500,Bachelors (4 years),No,"Yes, but they expired",45,1,Private business,No,"Stay with the same employer, same role",Male,"Architect, Data Scientist, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: App code (C#, JS, etc), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL, Engineer","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching"
12/11/2017 9:58,98000,United States,38017,Microsoft SQL Server,8,None,Full time employee,"Developer: App code (C#, JS, etc)",No,2,5,3,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Manual tasks, Meetings & management"
12/11/2017 9:59,60000,United Kingdom,cw5,Microsoft SQL Server,7,"MongoDB, Vertica",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,None,4,None (no degree completed),N/A,"No, I never have",40,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,,"Manual tasks, Projects"
12/11/2017 9:59,112000,United States,83702,Microsoft SQL Server,15,MySQL/MariaDB,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,2,249,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D"
12/11/2017 10:01,83232,United States,15650,Microsoft SQL Server,12,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,9,None,11,None (no degree completed),N/A,"No, I never have",40,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, On-call 24/7/365"
12/11/2017 10:05,61800,United States,48243,Microsoft SQL Server,2,"Microsoft SQL Server, MongoDB, Redis",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,4,509,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, R&D, Training/teaching"
12/11/2017 10:10,74000,United States,47591,Microsoft SQL Server,17,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,1,1,160,Bachelors (4 years),No,"Yes, and they're currently valid",40,2,Private business,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, On-call as part of a rotation"
12/11/2017 10:11,115000,United States,48150,Microsoft SQL Server,15,Amazon RDS (any flavor),Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,4,28,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Build scripts & automation tools
12/11/2017 10:14,45000,United Kingdom,Yorkshire,Microsoft SQL Server,17,"Oracle, MongoDB, Microsoft Access, Ingres",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,25,1,60,None (no degree completed),N/A,"Yes, but they expired",36,"None, or less than 1 day per week",Federal government,No,"Stay with the same employer, same role",Female,"Developer: Business Intelligence (SSRS, PowerBI, etc)","Manual tasks, On-call as part of a rotation, Projects"
12/11/2017 10:15,94000,United States,,Microsoft SQL Server,9,None,Full time employee,Developer: T-SQL,No,9,None,10,Bachelors (4 years),Yes,"No, I never have",40,5 or more,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Analyst, DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), Developer: Business Intelligence (SSRS, PowerBI, etc)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects"
12/11/2017 10:31,80000,United States,95678,Microsoft SQL Server,3,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,2,12,Bachelors (4 years),No,"No, I never have",40,1,Private business,No,"Stay with the same employer, same role",Male,Analyst,
12/11/2017 10:35,130000,United States,77042,Microsoft SQL Server,13,"Microsoft SQL Server, DB2, Microsoft Access",Full time employee,Manager,No,1,None,4,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects"
12/11/2017 10:40,80000,United Kingdom,,Microsoft SQL Server,10,Microsoft SQL Server,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,7,3,57,Bachelors (4 years),No,"Yes, but they expired",38,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, same role",Male,"Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects"
12/11/2017 10:51,105000,United States,64029,Microsoft SQL Server,12,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,2,189,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Architect, Developer: T-SQL, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D"
12/11/2017 10:53,96000,United States,77845,Microsoft SQL Server,11,MySQL/MariaDB,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,3,3,35,Bachelors (4 years),Yes,"No, I never have",40,5 or more,"Education (K-12, college, university)",No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Projects, R&D, Training/teaching"
12/11/2017 10:55,110400,United States,91320,Microsoft SQL Server,17,None,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,39,1,20,None (no degree completed),N/A,"No, I never have",40,2,Non-profit,No,"Stay with the same employer, but change roles",Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects"
12/11/2017 10:56,69000,Sweden,,Microsoft SQL Server,10,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,10,5,500,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,,"Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, Training/teaching"
12/11/2017 10:56,69000,Sweden,,Microsoft SQL Server,10,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,10,5,500,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,,"Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, Training/teaching"
12/11/2017 10:57,68000,Belgium,1000,Microsoft SQL Server,15,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,1,60,Bachelors (4 years),Yes,"Yes, and they're currently valid",38,2,Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,,
12/11/2017 10:57,155000,United States,80202,Other,10,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Snowflake, Redshift, Exasol",Full time employee of a consulting/contracting company,Manager,Yes,5,4,4,Masters,No,"No, I never have",50,5 or more,Private business,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Female,"Architect, Engineer","Build scripts & automation tools, Meetings & management, Projects, Training/teaching"
12/11/2017 11:00,120000,United Kingdom,EH2,Microsoft SQL Server,18,"Microsoft SQL Server, Microsoft Access, SQLite, Azure SQL DB","Independent consultant, contractor, freelancer, or company owner","Developer: Business Intelligence (SSRS, PowerBI, etc)",No,20,None,12,Bachelors (4 years),No,"Yes, and they're currently valid",38,3,Private business,No,"Stay with the same role, but change employers",Male,"Analyst, Data Scientist","Projects, R&D, Training/teaching"
12/11/2017 11:08,35398,United Kingdom,HA4,Microsoft SQL Server,2,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,1,25,Masters,Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, R&D"
12/11/2017 11:09,126000,United States,22902,Microsoft SQL Server,9,"Microsoft SQL Server, Amazon RDS (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,4,3,50,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,5 or more,Private business,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Manager","Build scripts & automation tools, Manual tasks, Meetings & management, R&D, Training/teaching"
12/11/2017 11:12,114000,United States,75034,Microsoft SQL Server,15,None,Full time employee,Developer: T-SQL,No,16,None,3,None (no degree completed),N/A,"No, I never have",40,5 or more,Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, On-call 24/7/365"
12/11/2017 11:12,35000,Italy,Milan,Microsoft SQL Server,9,"PostgreSQL, Redis, SQLite, Azure SQL DB",Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,5,1,140,None (no degree completed),N/A,"No, I never have",50,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)","Stay with the same employer, but change roles",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL","Build scripts & automation tools, Meetings & management, Projects"
12/11/2017 11:23,47000,Romania,,Microsoft SQL Server,11,Microsoft Access,Full time employee,Developer: T-SQL,No,1,1,3,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc)",Projects
12/11/2017 11:27,90000,United States,70130,Microsoft SQL Server,18,Microsoft Access,Full time employee,Other,No,4,None,2,Bachelors (4 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",State/province government,No,"Stay with the same employer, same role",Male,"Analyst, Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching"
12/11/2017 11:33,95000,United States,66205,Microsoft SQL Server,5,None,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,None,100,Masters,No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Non-profit,"Yes, but only passively (just curious)",Prefer not to say,Male,"Analyst, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers)","Meetings & management, Projects"
12/11/2017 11:36,131000,United States,29201,Microsoft SQL Server,14,None,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,1,40,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Federal government,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, Projects, Training/teaching"
12/11/2017 11:46,35000,United Kingdom,NE12 8BU,Microsoft SQL Server,2,None,Full time employee,Analyst,No,2,2,12,None (no degree completed),N/A,"No, I never have",37,"None, or less than 1 day per week",Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects"
12/11/2017 11:48,102960,United States,54,Microsoft SQL Server,10,None,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,6,1,225,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,2,Non-profit,No,"Stay with the same employer, same role",Female,"DBA (Development Focus - tunes queries, indexes, does deployments)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects"
12/11/2017 11:49,60090,United States,45202,Microsoft SQL Server,3,"Microsoft SQL Server, Amazon RDS (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,5,43,Associates (2 years),Yes,"No, I never have",40,1,Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, R&D"
12/11/2017 11:51,72000,United States,,Microsoft SQL Server,2,"Microsoft SQL Server, Couchbase",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,More than 5,175,None (no degree completed),N/A,"No, I never have",50,2,Private business,"Yes, but only passively (just curious)",Prefer not to say,Prefer not to say,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR)","Build scripts & automation tools, Meetings & management, On-call as part of a rotation, Projects, Training/teaching"
12/11/2017 11:54,80000,United States,32164,Microsoft SQL Server,6,"Microsoft SQL Server, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,2,30,None (no degree completed),N/A,"Yes, and they're currently valid",45,5 or more,Federal government,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Analyst,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching"
12/11/2017 12:02,70000,United States,40205,Microsoft SQL Server,3,MySQL/MariaDB,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,3,150,Bachelors (4 years),Yes,"Yes, but they expired",50,1,Private business,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, Training/teaching"
12/11/2017 12:08,90000,Netherlands,2037,Azure SQL DB,3,Microsoft SQL Server,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,4,3,Masters,Yes,"Yes, and they're currently valid",42,"None, or less than 1 day per week",Private business,No,"Stay with the same employer, but change roles",Male,Developer: T-SQL,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D"
